,support,itemsets
0,0.19181802749957563,frozenset({'P00000142'})
1,0.06297742318791377,frozenset({'P00000242'})
2,0.04040061110168053,frozenset({'P00000342'})
3,0.08691223900865727,frozenset({'P00000642'})
4,0.04040061110168053,frozenset({'P00000742'})
5,0.08385673060600916,frozenset({'P00001042'})
6,0.09709726701748429,frozenset({'P00001142'})
7,0.059242912918010524,frozenset({'P00001642'})
8,0.0762179595993889,frozenset({'P00001742'})
9,0.12357833984043456,frozenset({'P00002142'})
10,0.05516890171447972,frozenset({'P00002442'})
11,0.09030724834493295,frozenset({'P00002542'})
12,0.1408928874554405,frozenset({'P00003242'})
13,0.16143269393990833,frozenset({'P00003442'})
14,0.08538448480733322,frozenset({'P00003642'})
15,0.12391784077406214,frozenset({'P00003942'})
16,0.04668137837379053,frozenset({'P00004542'})
17,0.10032252588694619,frozenset({'P00004742'})
18,0.16211169580716348,frozenset({'P00005042'})
19,0.045662875572907824,frozenset({'P00005742'})
20,0.049397385842811066,frozenset({'P00006142'})
21,0.08402648107282296,frozenset({'P00006942'})
22,0.059242912918010524,frozenset({'P00009342'})
23,0.05907316245119674,frozenset({'P00010242'})
24,0.22593787132914617,frozenset({'P00010742'})
25,0.11237480903072483,frozenset({'P00010842'})
26,0.051434391444576476,frozenset({'P00010942'})
27,0.05941266338482431,frozenset({'P00013742'})
28,0.11288406043116618,frozenset({'P00014542'})
29,0.05313189611271431,frozenset({'P00014642'})
30,0.06908843999320999,frozenset({'P00014842'})
31,0.049397385842811066,frozenset({'P00015542'})
32,0.06959769139365134,frozenset({'P00015642'})
33,0.04023086063486674,frozenset({'P00015742'})
34,0.04498387370565269,frozenset({'P00015842'})
35,0.07502970633169241,frozenset({'P00016042'})
36,0.043965370904769985,frozenset({'P00016742'})
37,0.052452894245459174,frozenset({'P00016842'})
38,0.04107961296893566,frozenset({'P00017542'})
39,0.050246138176879986,frozenset({'P00018042'})
40,0.05262264471227296,frozenset({'P00019142'})
41,0.05550840264810728,frozenset({'P00019342'})
42,0.05941266338482431,frozenset({'P00020342'})
43,0.1293498557121032,frozenset({'P00021742'})
44,0.06195892038703107,frozenset({'P00022542'})
45,0.08759124087591241,frozenset({'P00022942'})
46,0.06569343065693431,frozenset({'P00024042'})
47,0.043965370904769985,frozenset({'P00024142'})
48,0.06925819046002377,frozenset({'P00024742'})
49,0.269224240366661,frozenset({'P00025442'})
50,0.07282295026311322,frozenset({'P00025942'})
51,0.06348667458835512,frozenset({'P00026042'})
52,0.06297742318791377,frozenset({'P00028042'})
53,0.06976744186046512,frozenset({'P00028442'})
54,0.08283822780512647,frozenset({'P00028542'})
55,0.19894754710575455,frozenset({'P00028842'})
56,0.06094041758614836,frozenset({'P00029242'})
57,0.09947377355287727,frozenset({'P00030842'})
58,0.060431166185707014,frozenset({'P00030942'})
59,0.1982685452384994,frozenset({'P00031042'})
60,0.09234425394669836,frozenset({'P00032042'})
61,0.06433542692242404,frozenset({'P00032842'})
62,0.06416567645561025,frozenset({'P00033042'})
63,0.045662875572907824,frozenset({'P00033342'})
64,0.06925819046002377,frozenset({'P00033542'})
65,0.04023086063486674,frozenset({'P00033642'})
66,0.09726701748429809,frozenset({'P00034042'})
67,0.04634187744016296,frozenset({'P00034142'})
68,0.06705143439144458,frozenset({'P00034442'})
69,0.20166355457477508,frozenset({'P00034742'})
70,0.1137328127652351,frozenset({'P00034842'})
71,0.10032252588694619,frozenset({'P00035542'})
72,0.10711254455949754,frozenset({'P00035842'})
73,0.07265319979629944,frozenset({'P00035942'})
74,0.14683415379392292,frozenset({'P00036842'})
